Date,Open,High,Low,Close,Adj Close,Volume
2018-12-03,25.299999,25.879999,24.610001,25.719999,25.719999,2822300
2018-12-04,25.41,25.709999,23.299999,23.5,23.5,3751800
2018-12-06,23,23.4,22,23.27,23.27,2840600
2018-12-07,23.190001,23.879999,21.5,21.57,21.57,2577500
2018-12-10,21.4,21.940001,20.5,21.32,21.32,2901100
2018-12-11,21.75,22.57,21.530001,21.98,21.98,2007500
2018-12-12,22.23,23.540001,22.219999,23.110001,23.110001,1348600
2018-12-13,23.309999,23.639999,22.860001,23.27,23.27,1112800
2018-12-14,22.93,23.9,22.68,23,23,1088800
2018-12-17,22.950001,23.57,21.48,21.85,21.85,2202900
2018-12-18,22.08,22.709999,21.120001,21.530001,21.530001,1850300
2018-12-19,21.639999,22.58,21.25,21.58,21.58,1996600
2018-12-20,21.52,21.93,19.08,20.51,20.51,3352800
2018-12-21,20.35,20.93,19.16,19.42,19.42,2849100
2018-12-24,19.1,19.469999,18.549999,18.99,18.99,1026200
2018-12-26,18.969999,21.48,18.549999,21.41,21.41,1963000
2018-12-27,20.92,21.190001,19.620001,21,21,1578600
2018-12-28,21,22.190001,20.610001,21.57,21.57,1031600
2018-12-31,21.85,22.4,21.26,21.389999,21.389999,1253500
2019-01-02,20.719999,23.07,20.35,22.75,22.75,1506700
2019-01-03,22.559999,23.030001,21.73,22.040001,22.040001,1202700
2019-01-04,22.549999,23.51,22.549999,23.51,23.51,1450500
2019-01-07,23.950001,24.48,23.26,23.709999,23.709999,1883400
2019-01-08,24.26,24.360001,22.030001,23.360001,23.360001,2212900
2019-01-09,23.379999,24.25,23.16,23.870001,23.870001,872500
2019-01-10,23.629999,23.98,23.01,23.940001,23.940001,793000
2019-01-11,23.639999,24.16,23.440001,23.6,23.6,860900
2019-01-14,23.209999,23.67,22.450001,23.51,23.51,1273100
2019-01-15,23.530001,24,23.27,23.389999,23.389999,732400
2019-01-16,23.809999,23.809999,22.540001,23.219999,23.219999,1110700
2019-01-17,23.139999,23.59,22.16,22.379999,22.379999,2367700
2019-01-18,22.719999,23,20.889999,21.139999,21.139999,3005300
2019-01-22,21.16,21.92,20.059999,21.209999,21.209999,3741500
2019-01-23,21.32,22.02,20.450001,21.469999,21.469999,2402900
2019-01-24,21.5,21.66,20.799999,21.110001,21.110001,2012400
2019-01-25,21.309999,22.59,21.120001,22.42,22.42,2292300
2019-01-28,21.799999,23.219999,21.6,22.790001,22.790001,3436800
2019-01-29,22.75,23.26,21.799999,22.700001,22.700001,1327700
2019-01-30,22.889999,23.59,22.48,23.4,23.4,1409200
2019-01-31,23.440001,24.360001,23.360001,24.33,24.33,1894400
2019-02-01,24.33,25.52,24.09,24.9,24.9,2095000
2019-02-04,24.92,25,23.209999,23.299999,23.299999,2257500
2019-02-05,23.370001,23.940001,22.91,23.940001,23.940001,1496600
2019-02-06,24.77,26.950001,23.4,23.58,23.58,5034600
2019-02-07,23.219999,23.42,22.09,22.969999,22.969999,2486700
2019-02-08,22.709999,23.610001,22.219999,23.48,23.48,2069900
2019-02-11,23.4,23.93,22.440001,22.67,22.67,2604500
2019-02-12,22.74,23.34,22.629999,23.299999,23.299999,1412300
2019-02-13,23.299999,23.549999,22.799999,23,23,1745400
2019-02-14,22.620001,23.07,22.34,22.82,22.82,1258900
2019-02-15,22.9,23.59,22.9,23.1,23.1,1407100
2019-02-19,23.01,23.200001,21.190001,21.620001,21.620001,3614200
2019-02-20,22.25,24.5,21.799999,24.059999,24.059999,5250100
2019-02-21,24,25.25,23.91,24.59,24.59,2847900
2019-02-22,24.709999,25,23.540001,23.85,23.85,1807800
2019-02-25,24.1,25.4,23.870001,24.700001,24.700001,2336700
2019-02-26,25.75,25.98,23.469999,24.42,24.42,3786900
2019-02-27,24.049999,25.48,23.860001,24.719999,24.719999,2045200
2019-02-28,24.620001,24.690001,23.690001,24.08,24.08,1476600
2019-03-01,24.200001,24.4,22.870001,23.35,23.35,1795300
2019-03-04,23.5,23.6,20.93,21.120001,21.120001,4431000
2019-03-05,21,21.01,15.38,17.76,17.76,19549700
2019-03-06,18.709999,19.02,17.68,18.26,18.26,5112000
2019-03-07,18.08,18.83,17.68,18.17,18.17,5168300
2019-03-08,17.76,18.17,17.4,18.16,18.16,4423200
2019-03-11,18.040001,18.4,17.690001,17.690001,17.690001,3045000
2019-03-12,17.75,18.889999,17.469999,17.77,17.77,3930000
2019-03-13,17.709999,18.110001,17.59,17.940001,17.940001,3100800
2019-03-14,18,18.030001,16.860001,17.379999,17.379999,2277000
2019-03-15,17.620001,17.780001,16.809999,17.17,17.17,3509700
2019-03-18,17.040001,17.32,15.62,16.02,16.02,4388900
2019-03-19,15.9,17.9,15.77,17.120001,17.120001,3982900
2019-03-20,17,17.950001,16.73,16.98,16.98,2244700
2019-03-21,15.87,16.110001,14.81,16.09,16.09,5843800
2019-03-22,16.15,16.459999,15.59,15.74,15.74,2142500
2019-03-25,15.65,16.23,15.3,15.78,15.78,2134200
2019-03-26,15.86,16.129999,15.62,15.77,15.77,1804200
2019-03-27,15.76,16.09,15.03,15.61,15.61,2994300
2019-03-28,15.6,15.78,14.99,15.2,15.2,2417500
2019-03-29,15.33,16.18,14.98,15.66,15.66,3384300
2019-04-01,15.85,16,15.12,15.25,15.25,2061500
2019-04-02,15.25,16.35,15.07,15.35,15.35,2745200
2019-04-03,16.799999,17.290001,15.35,15.4,15.4,6415200
2019-04-04,15.35,17.129999,15.2,16.629999,16.629999,8092200
2019-04-05,16.450001,18.09,16.379999,17.52,17.52,5946607
